# ctau,m1,m0,ms,eff,efferror
1.000e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.088e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.183e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.287e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.400e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.523e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.656e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.802e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.960e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
2.132e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
2.319e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
2.522e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
2.743e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
2.984e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
3.246e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
3.531e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
3.841e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
4.177e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
4.544e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
4.943e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
5.376e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
5.848e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
6.361e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
6.919e-01,1.220e+02,1.020e+02,2.500e+02,1.333e-05,1.333e-05
7.526e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
8.187e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
8.905e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
9.686e-01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.054e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.146e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.247e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.356e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.475e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.604e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.745e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.898e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
2.065e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
2.246e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
2.443e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
2.657e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
2.890e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
3.144e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
3.420e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
3.720e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
4.046e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
4.401e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
4.788e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
5.208e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
5.665e+00,1.220e+02,1.020e+02,2.500e+02,1.333e-05,1.333e-05
6.162e+00,1.220e+02,1.020e+02,2.500e+02,1.333e-05,1.333e-05
6.702e+00,1.220e+02,1.020e+02,2.500e+02,1.333e-05,1.333e-05
7.290e+00,1.220e+02,1.020e+02,2.500e+02,1.333e-05,1.333e-05
7.930e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
8.626e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
9.382e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.021e+01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
1.110e+01,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00
