# Values for variable: Leading jet $E_{T}$ (Hardware Trigger, N) (GeV)
# Input file for ddmH_mS_500_m1_244_dm_90_nosmear : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events_nosmear.root (38862 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
2.0000e+00,0.0000e+00,4.0000e+00,9.9264e-01,5.0540e-03
6.0000e+00,4.0000e+00,8.0000e+00,0.0000e+00,0.0000e+00
1.0000e+01,8.0000e+00,1.2000e+01,0.0000e+00,0.0000e+00
1.4000e+01,1.2000e+01,1.6000e+01,0.0000e+00,0.0000e+00
1.8000e+01,1.6000e+01,2.0000e+01,0.0000e+00,0.0000e+00
2.2000e+01,2.0000e+01,2.4000e+01,4.8891e-04,1.1216e-04
2.6000e+01,2.4000e+01,2.8000e+01,6.1757e-04,1.2606e-04
3.0000e+01,2.8000e+01,3.2000e+01,3.8598e-04,9.9660e-05
3.4000e+01,3.2000e+01,3.6000e+01,5.6611e-04,1.2069e-04
3.8000e+01,3.6000e+01,4.0000e+01,3.8598e-04,9.9660e-05
4.2000e+01,4.0000e+01,4.4000e+01,3.8598e-04,9.9660e-05
4.6000e+01,4.4000e+01,4.8000e+01,2.8305e-04,8.5344e-05
5.0000e+01,4.8000e+01,5.2000e+01,5.6611e-04,1.2069e-04
5.4000e+01,5.2000e+01,5.6000e+01,4.3745e-04,1.0610e-04
5.8000e+01,5.6000e+01,6.0000e+01,4.8891e-04,1.1216e-04
6.2000e+01,6.0000e+01,6.4000e+01,2.5732e-04,8.1372e-05
6.6000e+01,6.4000e+01,6.8000e+01,6.6903e-04,1.3121e-04
7.0000e+01,6.8000e+01,7.2000e+01,3.0878e-04,8.9139e-05
7.4000e+01,7.2000e+01,7.6000e+01,3.0878e-04,8.9139e-05
7.8000e+01,7.6000e+01,8.0000e+01,4.3745e-04,1.0610e-04
8.2000e+01,8.0000e+01,8.4000e+01,2.5732e-04,8.1372e-05
8.6000e+01,8.4000e+01,8.8000e+01,2.8305e-04,8.5344e-05
9.0000e+01,8.8000e+01,9.2000e+01,2.3159e-04,7.7196e-05
9.4000e+01,9.2000e+01,9.6000e+01,0.0000e+00,0.0000e+00
9.8000e+01,9.6000e+01,1.0000e+02,0.0000e+00,0.0000e+00
